ticker,start,end,index_name
AA,2021-12-20,2024-12-31,SP400
AAL,2024-09-23,2024-12-31,SP400
AAON,2024-05-03,2024-12-31,SP400
AAXN,2019-07-01,2024-12-31,SP400
ABMD,2014-09-30,2018-05-31,SP400
ACC,2014-09-30,2022-08-10,SP400
ACHC,2017-04-06,2024-12-31,SP400
ACI,2025-03-11,2024-12-31,SP400
ACIW,2014-09-30,2023-11-13,SP400
ACM,2014-09-30,2024-12-31,SP400
ADC,2023-02-06,2024-12-31,SP400
ADNT,2018-08-22,2024-09-23,SP400
ADS,2020-06-22,2024-12-31,SP400
AEO,2014-09-30,2022-09-19,SP400
AFG,2014-09-30,2024-12-31,SP400
AGCO,2014-09-30,2024-12-31,SP400
AHL,2014-09-30,2019-02-21,SP400
AIRC,2020-12-21,2024-06-28,SP400
AIT,2024-03-18,2024-12-31,SP400
AJG,2014-09-30,2016-05-27,SP400
ALB,2014-09-30,2016-06-30,SP400
ALE,2018-03-07,2024-12-31,SP400
ALEX,2014-09-30,2020-02-07,SP400
ALGM,2022-12-19,2024-12-31,SP400
ALGN,2014-09-30,2017-06-19,SP400
ALK,2014-09-30,2016-05-12,SP400
ALK,2025-03-24,2024-12-31,SP400
ALLY,2023-09-18,2024-12-31,SP400
ALTM,2024-01-02,2025-03-06,SP400
ALTR,2024-06-24,2025-03-31,SP400
ALV,2023-03-20,2024-12-31,SP400
AM,2019-09-23,2024-12-31,SP400
AMCX,2014-09-30,2020-12-02,SP400
AMD,2014-09-30,2017-03-20,SP400
AMED,2019-02-21,2024-12-31,SP400
AMG,2019-12-13,2024-12-31,SP400
AMH,2024-03-01,2024-12-31,SP400
AMKR,2021-02-16,2024-12-31,SP400
AN,2017-08-08,2024-12-31,SP400
ANF,2014-09-30,2016-10-03,SP400
ANF,2024-07-22,2024-12-31,SP400
ANSS,2014-09-30,2017-06-19,SP400
AOL,2014-09-30,2015-06-25,SP400
AOS,2014-09-30,2017-07-26,SP400
APG,2025-06-24,2024-12-31,SP400
APOL,2014-09-30,2015-11-30,SP400
APPF,2024-04-01,2024-12-31,SP400
APPS,2021-09-07,2022-06-29,SP400
APY,2018-05-10,2024-12-31,SP400
AR,2022-10-20,2024-12-31,SP400
ARE,2014-09-30,2017-03-20,SP400
ARMK,2023-03-20,2024-12-31,SP400
ARW,2014-09-30,2024-12-31,SP400
ARWR,2019-12-13,2025-01-27,SP400
ASB,2014-09-30,2024-12-31,SP400
ASGN,2018-10-11,2024-12-31,SP400
ASH,2014-09-30,2024-12-31,SP400
ASNA,2014-09-30,2016-11-10,SP400
ATGE,2014-09-30,2021-07-07,SP400
ATI,2015-07-01,2020-09-21,SP400
ATI,2025-03-24,2024-12-31,SP400
ATML,2014-09-30,2016-04-06,SP400
ATR,2014-09-30,2024-12-31,SP400
ATW,2014-09-30,2016-01-19,SP400
AVAV,2025-07-18,2024-12-31,SP400
AVNS,2014-09-30,2021-05-17,SP400
AVNT,2014-09-30,2024-12-31,SP400
AVP,2014-09-30,2018-03-19,SP400
AVT,2014-09-30,2024-12-31,SP400
AVTR,2024-07-26,2024-12-31,SP400
AXON,2014-09-30,2023-05-04,SP400
AXTA,2023-03-20,2024-12-31,SP400
AYI,2014-09-30,2016-05-03,SP400
AYI,2018-06-18,2024-12-31,SP400
AZPN,2021-05-17,2025-03-11,SP400
AZTA,2014-09-30,2024-11-25,SP400
BBBY,2017-07-26,2020-06-22,SP400
BBG,2014-09-30,2014-09-30,SP400
BBWI,2025-03-24,2024-12-31,SP400
BC,2014-09-30,2024-12-31,SP400
BCO,2017-09-18,2024-12-31,SP400
BDC,2014-09-30,2024-12-31,SP400
BEAV,2014-09-30,2017-04-19,SP400
BERY,2023-06-19,2025-05-01,SP400
BFH,2014-09-30,2022-11-02,SP400
BHF,2019-04-03,2024-12-31,SP400
BID,2014-09-30,2019-10-03,SP400
BILL,2024-12-23,2024-12-31,SP400
BIO,2014-09-30,2020-06-22,SP400
BIO,2024-09-23,2024-12-31,SP400
BIVV,2017-02-03,2018-03-08,SP400
BJ,2019-10-30,2024-12-31,SP400
BKH,2014-09-30,2024-12-31,SP400
BLD,2020-06-30,2024-12-31,SP400
BLDR,2020-08-17,2023-12-18,SP400
BLKB,2017-06-29,2024-12-31,SP400
BMR,2014-09-30,2016-01-27,SP400
BMRN,2024-06-24,2024-12-31,SP400
BMS,2014-09-30,2019-06-07,SP400
BOH,2014-09-30,2023-06-01,SP400
BR,2014-09-30,2018-06-18,SP400
BRBR,2022-03-14,2024-12-31,SP400
BRCD,2014-09-30,2017-11-22,SP400
BRKR,2021-12-02,2024-12-31,SP400
BRKS,2021-01-07,2024-12-31,SP400
BRO,2014-09-30,2021-09-20,SP400
BRX,2019-02-06,2024-12-31,SP400
BURL,2023-11-07,2024-12-31,SP400
BWLD,2014-09-30,2018-02-05,SP400
BWXT,2023-06-19,2024-12-31,SP400
BYD,2018-02-13,2024-12-31,SP400
CAA,2014-09-30,2018-02-13,SP400
CAB,2014-09-30,2017-09-26,SP400
CABO,2014-09-30,2024-04-22,SP400
CACI,2014-09-30,2024-12-31,SP400
CADE,2014-09-30,2024-12-31,SP400
CAKE,2014-09-30,2020-06-22,SP400
CALX,2022-01-04,2024-03-18,SP400
CAR,2016-09-16,2024-12-31,SP400
CARS,2017-06-02,2019-09-23,SP400
CART,2025-01-14,2024-12-31,SP400
CASY,2015-06-25,2024-12-31,SP400
CATY,2014-09-30,2023-09-18,SP400
CAVA,2025-03-31,2024-12-31,SP400
CBOE,2014-09-30,2017-03-01,SP400
CBRL,2015-06-29,2023-03-20,SP400
CBSH,2014-09-30,2024-12-31,SP400
CBT,2014-09-30,2024-12-31,SP400
CC,2014-09-30,2016-02-01,SP400
CC,2017-01-04,2025-03-24,SP400
CCK,2023-06-19,2024-12-31,SP400
CCMP,2019-12-02,2022-07-07,SP400
CCP,2014-09-30,2017-08-17,SP400
CDAY,2019-10-30,2021-09-20,SP400
CDK,2014-09-30,2022-07-06,SP400
CDNS,2014-09-30,2017-09-18,SP400
CDP,2014-09-30,2024-12-31,SP400
CEB,2014-09-30,2017-04-05,SP400
CELH,2022-08-10,2024-12-31,SP400
CFR,2014-09-30,2024-12-31,SP400
CG,2023-11-30,2024-12-31,SP400
CGNX,2014-09-30,2024-12-31,SP400
CHD,2014-09-30,2015-12-29,SP400
CHDN,2016-06-24,2024-12-31,SP400
CHE,2018-06-18,2024-12-31,SP400
CHFC,2016-09-01,2019-08-01,SP400
CHH,2019-12-10,2024-12-31,SP400
CHK,2018-03-19,2020-02-27,SP400
CHK,2023-08-21,2024-12-31,SP400
CHRD,2023-03-20,2024-12-31,SP400
CHS,2014-09-30,2017-07-19,SP400
CHWY,2024-11-06,2024-12-31,SP400
